phbarc;phprsu;phcolp;phcocp;phlebi;phlesu;phadul;phfpre;phcocs;tititu;tiauto;Mes;Año
1300029817;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;T    ;Musicales : los 50 mejores espect?culos de Broadway /;Poyo, Luis (1977-);3;2025
283340;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;7/03/2025;S    ;Missa Salve y Motetes [;Victoria, Tom?s Luis de (1549-1611);3;2025
100777687;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;7/03/2025;S    ;Alcina : Opera seria in three acts /;H?ndel, Georg Friedrich (1685-1759);3;2025
100781523;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;6/03/2025;S    ;Anna Bolena : Tragedia lirica in due atti /;Donizetti, Gaetano (1797-1848);3;2025
100781509;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;7/03/2025;S    ;La vida breve : ?pera /;Falla, Manuel de (1876-1946);3;2025
100766810;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;6/03/2025;T    ;Canciones /;Morrissey (1959-);3;2025
100328581;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;6/03/2025;T    ;Tratado de armon?a adaptado a la guitarra /;Galindo, Patricio (1909-1975);3;2025
100351966;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;Q    ;Clavelitos /;Monreal, Genaro (1894-1974);3;2025
292699;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;T    ;Autenticidad del cante flamenco [;Jim?nez Quesada, Mateo.;3;2025
1300024254;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;Q    ;Piano lessons. Level 4 /;Bastien, James W.;3;2025
1300024256;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;Q    ;Piano lessons. Level 3 /;Bastien, James W.;3;2025
291562;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;Q    ;Musicianship for the older beginner. Level 2 /;Bastien, James W.;3;2025
100326874;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;Q    ;Yes complete [;Yes (Grupo musical);3;2025
100325243;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;Q    ;MEMORIES [;;3;2025
1300025906;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;Q    ;James Bond [: the ultimate collection : featuring music from;;3;2025
100325683;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;Q    ;LATIN hits 2000 [;;3;2025
284741;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;7/03/2025;S    ;Eight Classic Albums [. Digitally Remastered and Enhanced fo;Monk, Thelonious (1917-1982);3;2025
101888024;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;Q    ;Film themes : playalong for clarinet /;;3;2025
100104042;BMM   ;;MA   ;;;;10/03/2025;Q    ;Complete etudes for solo piano. Series II : including the Pa;Liszt, Franz (1811-1886);3;2025
1401232012;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;7/03/2025;S    ;Motetes e himnos para el a?o lit?rgico / Tom?s Luis de Victo;Victoria, Tom?s Luis de (1549-1611);3;2025
284472;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;10/03/2025;S    ;Highway 61 Revisited /;Dylan, Bob (1941-);3;2025
1300029899;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;10/03/2025;S    ;The Unforgettable Fire / ;U2 (Grupo musical);3;2025
100359574;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;10/03/2025;T    ;Johann Sebastian Bach, el m?sico sabio /;Wolff, Christoph.;3;2025
100779751;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;10/03/2025;T    ;Johann Sebastian Bach, el m?sico sabio. (I), La juventud cre;Wolff, Christoph.;3;2025
283102;BMM   ;;NP   ;;;;10/03/2025;T    ;Manual de supervivencia : negociaci?n de contratos discogr?f;Coll i Rodr?guez, Josep.;3;2025
284502;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;10/03/2025;S    ;Full Moon Fever /;Petty, Tom (1952-);3;2025
1300018579;BMM   ;;MA   ;;;;10/03/2025;Q    ;Ejercicios, estudios y obras para piano. Curso Segundo /;;3;2025
30815;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;10/03/2025;T    ;Garc?a Lorca y el flamenco / ;Grande, F?lix (1937-2014);3;2025
100060386;BMM   ;;NP   ;;;;11/03/2025;T    ;Mozart : obra completa comentada, discograf?a recomendada /;Reverter, Arturo.;3;2025
100781113;BMM   ;;MA   ;;;;11/03/2025;Q    ;Requiem /;Mozart, Wolfgang Amadeus (1756-1791);3;2025
1000003819;ATM   ;ATM  ;MOA  ;ATM   ;ATM   ;1;10/03/2025;T    ;Imposici?n municipal : valoraci?n y propuestas para una refo;;3;2025
100113128;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;11/03/2025;T    ;HISTORIA general de la m?sica /;;3;2025
284738;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;10/03/2025;S    ;Six Classic Albums [. Vol. 2. Digitally Remastered and Enhan;Mobley, Hank (1930-1986);3;2025
1800345468;BTM   ;AYU  ;MT   ;BTM   ;BTM   ;1;11/03/2025;T    ;T?cnico/a auxiliar de bibliotecas, Ayuntamiento de Madrid. C;Bartolom? Para, Bel?n.;3;2025
1800345449;BTM   ;AYU  ;MT   ;BTM   ;BTM   ;1;11/03/2025;T    ;T?cnico/a auxiliar de bibliotecas, Ayuntamiento de Madrid. T;Bartolom? Parra, Bel?n.;3;2025
1800340394;BTM   ;AYU  ;MT   ;BTM   ;BTM   ;1;11/03/2025;T    ;Temario para t?cnico/a auxiliar de bibliotecas del Ayuntamie;;3;2025
101887955;BMM   ;;MA   ;;;;12/03/2025;Q    ;Watermark /;Enya (1961-);3;2025
200001303;BMM   ;;MA   ;;;;10/03/2025;Q    ;Escuela rusa de piano. 1B /;;3;2025
100330743;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;10/03/2025;T    ;Musique et arts plastiques : interactions au XXe si?cle /;Bosseur, Jean-Yves.;3;2025
100072402;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;10/03/2025;Q    ;Emotions /;Carey, Mariah (1970-);3;2025
100051707;BMM   ;;NP   ;;;;11/03/2025;T    ;EL ARTE musical de Ernesto Lecuona;;3;2025
1300017230;BMM   ;;MA   ;;;;11/03/2025;T    ;Getting to know him : a biography of Oscar Hammerstein II /;Fordin, Hugh (1935-);3;2025
100784873;BMM   ;;MA   ;;;;11/03/2025;T    ;El lenguaje musical : claves para comprender y utilizar la o;Jofr? i Fradera, Josep (1962-);3;2025
100780619;BMM   ;;MA   ;;;;11/03/2025;Q    ;M?todo pr?ctico de canto : tenor y soprano /;Vaccai, Nicola (1790-1848);3;2025
100780618;BMM   ;;NP   ;;;;11/03/2025;Q    ;M?todo pr?ctico de canto : tenor y soprano /;Vaccai, Nicola (1790-1848);3;2025
100780618;BMM   ;;NP   ;;;;11/03/2025;Q    ;M?todo pr?ctico de canto : tenor y soprano /;Vaccai, Nicola (1790-1848);3;2025
100780618;BMM   ;;NP   ;;;;11/03/2025;Q    ;M?todo pr?ctico de canto : tenor y soprano /;Vaccai, Nicola (1790-1848);3;2025
100780618;BMM   ;;NP   ;;;;11/03/2025;Q    ;M?todo pr?ctico de canto : tenor y soprano /;Vaccai, Nicola (1790-1848);3;2025
101483899;BMM   ;;MA   ;;;;11/03/2025;Q    ;Acis y Galatea : zarzuela en dos jornadas /;Literes, Antonio de (1673-1746);3;2025
101025458;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;10/03/2025;T    ;Bob Dylan : la biograf?a /;Sounes, Howard.;3;2025
100774842;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;10/03/2025;T    ;Bob Dylan : a?os de juventud /;Williams, Paul (1940-);3;2025
1300019635;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;10/03/2025;S    ;Complete Piano Works /;L?adov, Anatole Constantinovitch (1855-1914);3;2025
101028426;BMM   ;;MA   ;;;;12/03/2025;Q    ;Adiestramiento t?cnico para guitarristas = Adestramento t?cn;Barcel?, Ricardo (1960-);3;2025
101029130;BMM   ;;MA   ;;;;12/03/2025;Q    ;Escuela de guitarra : volumen 1? (iniciaci?n) /;Camacho, Tom?s.;3;2025
26156;BMM   ;;MA   ;;;;12/03/2025;T    ;Un can?n personal / ;Mehldau, Brad (1970-);3;2025
100321684;BMM   ;;MA   ;;;;12/03/2025;Q    ;La guitarra paso a paso. I : 75 piezas f?ciles para principi;;3;2025
100054923;BMM   ;;MA   ;;;;12/03/2025;Q    ;Songs 1896-1914 /;Ravel, Maurice (1875-1937);3;2025
291312;BMM   ;;MA   ;;;;12/03/2025;Q    ;Complete songs for voice and piano /;Duparc, Henri (1848-1933);3;2025
1401237136;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;11/03/2025;T    ;Paco y la ?pera / ;Le Huche, Magali (1979-);3;2025
1000003833;ATM   ;ATM  ;MOA  ;ATM   ;ATM   ;1;12/03/2025;T    ;Imposici?n municipal : valoraci?n y propuestas para una refo;;3;2025
26156;BMM   ;;MA   ;;;;13/03/2025;T    ;Un can?n personal / ;Mehldau, Brad (1970-);3;2025
1300010408;BMM   ;;NP   ;;;;11/03/2025;Q    ;Zaubernacht : Kinderpantomime /;Weill, Kurt (1900-1950);3;2025
100357608;BMM   ;;NP   ;;;;11/03/2025;Q    ;Officium Defunctorum, fex vocibus /;Victoria, Tom?s Luis de (1549-1611);3;2025
1300011726;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;10/03/2025;S    ;Dido and Eneas /;Purcell, Henry (1659-1695);3;2025
101028290;BMM   ;;MA   ;;;;12/03/2025;Q    ;Aprende guitarra f?cilmente : primer nivel /;Barba, V?ctor M.;3;2025
101028383;BMM   ;;MA   ;;;;12/03/2025;Q    ;Escuela de guitarra : volumen 2? : curso 2? conforme a la LO;Camacho, Tom?s.;3;2025
101028382;BMM   ;;MA   ;;;;12/03/2025;Q    ;La digitaci?n guitarr?stica : recursos poco usuales /;Barcel?, Ricardo (1960-);3;2025
101028900;BMM   ;;MA   ;;;;12/03/2025;Q    ;La digitaci?n guitarr?stica : recursos poco usuales /;Barcel?, Ricardo (1960-);3;2025
2103346;BMM   ;;NP   ;;;;12/03/2025;P    ;MEL?MANO : la revista de m?sica cl?sica;;3;2025
1401237689;BMM   ;;MA   ;;;;12/03/2025;T    ;Villancicos de Europa : para grupo y orquesta de flautas, gr;Gubser, Claudia (1960-);3;2025
100070626;BMM   ;;MA   ;;;;12/03/2025;Q    ;Songs 1880-1904 /;Debussy, Claude (1862-1918);3;2025
100322801;BMM   ;;MA   ;;;;12/03/2025;T    ;Cuestionario te?rico adaptado a la asignatura de Conjunto Co;L?pez Garc?a, Jos? Luis (1933-);3;2025
100781593;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;12/03/2025;S    ;"The Rite of Spring; The Firebird : Suite, 1919 /";Stravinsky, Igor (1882-1971);3;2025
1401232201;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;12/03/2025;S    ;Verve Jazz Masters. 9 /;Gilberto, Astrud.;3;2025
100359981;BMM   ;;NP   ;;;;13/03/2025;Q    ;Mi m?todo de canto /;L?zaro, Hip?lito (1887-1974);3;2025
100767940;BMM   ;;MA   ;;;;13/03/2025;Q    ;Complete concertos for two or more harpsichords : from the B;Bach, Johann Sebastian (1685-1750);3;2025
287466;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;13/03/2025;S    ;Tattoo you [;The Rolling Stones (Grupo musical);3;2025
32360;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;13/03/2025;S    ;Barry Lyndon : Music from the Academy Award Winning Soundtra;;3;2025
100359981;BMM   ;;NP   ;;;;13/03/2025;Q    ;Mi m?todo de canto /;L?zaro, Hip?lito (1887-1974);3;2025
100780510;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;13/03/2025;Q    ;All for strings. Book 1 : comprensive string method /;Anderson, Gerald E.;3;2025
1401042419;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;17/03/2025;T    ;Canciones infantiles / ;;3;2025
1300025243;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;13/03/2025;Q    ;Saxophone quartet : 1995 [;Glass, Philip (1937-);3;2025
1300025025;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;12/03/2025;S    ;Prokofiev 3 Bart?k 2 [;Prokofiev, Sergey (1891-1953);3;2025
200000983;BMM   ;;MA   ;;;;12/03/2025;Q    ;Iniciaci?n al conjunto coral. I : diez canciones espa?olas p;;3;2025
200000989;BMM   ;;MA   ;;;;12/03/2025;Q    ;Iniciaci?n al conjunto coral. II : diez canciones espa?olas;;3;2025
200000983;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;12/03/2025;Q    ;Iniciaci?n al conjunto coral. I : diez canciones espa?olas p;;3;2025
200000989;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;12/03/2025;Q    ;Iniciaci?n al conjunto coral. II : diez canciones espa?olas;;3;2025
101028863;BMM   ;;MA   ;;;;12/03/2025;T    ;Lo studio del canto : tecnica ed esercizi /;Juvarra, Antonio (1959-);3;2025
101028863;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;12/03/2025;T    ;Lo studio del canto : tecnica ed esercizi /;Juvarra, Antonio (1959-);3;2025
101029313;BMM   ;;MA   ;;;;12/03/2025;Q    ;Metodo completo di canto : ossia Analisi ragionata dei princ;Lablache, Luigi (1794-1858);3;2025
101029313;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;12/03/2025;Q    ;Metodo completo di canto : ossia Analisi ragionata dei princ;Lablache, Luigi (1794-1858);3;2025
100074948;BMM   ;;MA   ;;;;12/03/2025;T    ;Conjunto coral en su teor?a /;Moreno, Asterio.;3;2025
100074948;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;12/03/2025;T    ;Conjunto coral en su teor?a /;Moreno, Asterio.;3;2025
284823;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;12/03/2025;S    ;La leyenda del tiempo [;Camar?n (1950-1992);3;2025
1300027078;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;12/03/2025;S    ;Kosmos [;;3;2025
100782327;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;12/03/2025;S    ;Best of the west coast sessions [;Getz, Stan (1927-1991);3;2025
100330765;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;12/03/2025;Q    ;Grandes maestros en el conjunto coral /;;3;2025
1300020680;BMM   ;;MA   ;;;;13/03/2025;Q    ;Serenata medieval para canto y arpa [;Costa, Michael (1808-1884);3;2025
1300023757;BMM   ;;NP   ;;;;13/03/2025;Q    ;La Manola : album 1848 : canzonetta /;Henrion, Paul (1819-1901);3;2025
1300013779;BMM   ;;NP   ;;;;13/03/2025;Q    ;El clave bien temperado. I : preludios y fugas /;Bach, Johann Sebastian (1685-1750);3;2025
1300011304;BMM   ;;NP   ;;;;13/03/2025;Q    ;El clave bien temperado : preludios y fugas. II [;Bach, Johann Sebastian (1685-1750);3;2025
101886601;BMM   ;;NP   ;;;;13/03/2025;Q    ;El clave bien temperado. I, BWV 846 - 869 /;Bach, Johann Sebastian (1685-1750);3;2025
101485694;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;13/03/2025;T    ;Po?tica musical : en forma de seis lecciones : the Eliot Nor;Stravinsky, Igor (1882-1971);3;2025
1400096426;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;12/03/2025;T    ;M?sica celta para la guitarra cl?sica /;Everts, Alain.;3;2025
100070748;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;12/03/2025;Q    ;M?todo de guitarra /;Aguado, Dionisio (1784-1849);3;2025
